Date,Total_Produced,Underweight,Overweight,Deformed,Burnt,Pale,Slicing_Defect,Poor_Seed_Coverage,Surface_Blisters,Foreign_Material,Packaging_Defect,Total_Rejected
1/24/2026,50000,43,27,70,45,34,61,21,60,0,113,474
1/25/2026,50000,53,21,77,44,29,64,25,50,3,93,459
1/26/2026,50000,57,33,85,42,33,70,25,46,1,111,503
1/27/2026,50000,53,32,88,45,57,63,23,46,0,102,509
1/28/2026,50000,52,23,48,37,45,59,19,57,1,105,446
1/29/2026,50000,41,41,84,38,35,57,25,53,0,117,491
1/30/2026,50000,57,22,85,34,28,54,17,48,2,112,459
1/31/2026,50000,39,30,85,40,37,46,14,54,1,85,431
2/1/2026,50000,54,41,81,48,46,68,27,57,3,80,505
2/2/2026,50000,42,27,88,40,44,63,22,49,3,102,480
2/3/2026,50000,55,29,82,34,42,50,27,50,3,103,475
2/4/2026,50000,48,26,75,39,29,60,25,44,1,89,436
2/5/2026,50000,55,30,89,48,31,44,29,40,3,128,497
2/6/2026,50000,66,37,80,43,44,48,19,42,6,106,491
2/7/2026,50000,44,28,67,48,41,71,18,57,3,101,478
2/8/2026,50000,46,28,77,35,34,62,22,47,2,95,448
2/9/2026,50000,48,30,87,49,51,75,13,45,2,94,494
2/10/2026,50000,55,29,71,33,44,61,32,57,0,103,485
2/11/2026,50000,60,25,78,50,35,55,19,39,2,107,470
2/12/2026,50000,44,32,72,42,44,58,14,55,1,90,452
2/13/2026,50000,44,20,63,35,49,61,18,51,1,102,444
2/14/2026,50000,42,25,66,45,43,74,19,51,2,108,475
2/15/2026,50000,54,27,76,52,36,59,20,58,1,110,493
2/16/2026,50000,57,27,77,44,47,60,24,50,1,81,468
2/17/2026,50000,49,30,67,34,43,59,16,40,0,106,444
2/18/2026,50000,57,27,81,32,39,57,24,48,0,93,458
2/19/2026,50000,41,25,80,41,47,60,18,49,3,94,458
2/20/2026,50000,49,36,94,43,49,63,20,55,1,83,493
2/21/2026,50000,37,34,74,45,33,48,24,71,3,86,455
2/22/2026,50000,56,30,83,45,43,56,16,49,3,104,485
2/23/2026,50000,44,29,86,43,52,51,23,43,4,94,469
2/24/2026,50000,54,32,70,30,46,61,21,47,1,108,470
2/25/2026,50000,55,43,75,36,39,71,18,54,3,102,496
2/26/2026,50000,53,31,82,43,35,60,11,56,3,95,469
2/27/2026,50000,38,32,84,43,31,69,21,43,1,93,455
2/28/2026,50000,46,26,71,39,32,65,19,56,1,108,463
3/1/2026,50000,67,19,73,50,35,59,11,30,1,101,446
3/2/2026,50000,47,41,78,35,34,59,21,40,1,112,468
3/3/2026,50000,50,37,63,41,39,69,19,53,0,100,471
3/4/2026,50000,49,35,73,37,40,70,26,56,0,99,485
3/5/2026,50000,51,22,89,34,36,62,24,62,1,109,490
3/6/2026,50000,41,32,78,46,58,63,26,42,4,107,497
3/7/2026,50000,51,27,89,37,47,52,25,44,2,104,478
3/8/2026,50000,47,32,85,44,33,53,17,54,1,104,470
3/9/2026,50000,59,35,84,31,39,61,36,48,4,116,513
3/10/2026,50000,57,27,74,31,41,54,20,52,2,115,473
